Overall Rank,Player,Position Rank
1,Justin Jefferson,WR1
2,Christian McCaffrey,RB1
3,Austin Ekeler,RB2
4,Ja'Marr Chase,WR2
5,Saquon Barkley,RB3
6,Jonathan Taylor,RB4
7,Bijan Robinson,RB5
8,Travis Kelce,TE1
9,Cooper Kupp,WR3
10,Josh Jacobs,RB6
11,Derrick Henry,RB7
12,Tyreek Hill,WR4
13,Stefon Diggs,WR5
14,Tony Pollard,RB8
15,Nick Chubb,RB1-1
16,Davante Adams,WR6
17,Travis Etienne Jr.,RB10
18,CeeDee Lamb,WR7
19,Garrett Wilson,WR8
20,Rhamondre Stevenson,RB11
21,Mark Andrews,TE2
22,Joe Mixon,RB12
23,Breece Hall,RB13
24,Amon-Ra St. Brown,WR1-1
25,Aaron Jones,RB14
26,Najee Harris,RB15
27,T.J. Hockenson,TE3
28,A.J. Brown,WR10
29,Kenneth Walker III,RB16
30,Jaylen Waddle,WR11
31,Patrick Mahomes,QB1
32,Jahmyr Gibbs,RB17
33,Tee Higgins,WR12
34,Dameon Pierce,RB18
35,DeVonta Smith,WR13
36,DK Metcalf,WR14
37,Rachaad White,RB2-1
38,Josh Allen,QB2
39,Chris Olave,WR15
40,Keenan Allen,WR16
41,Deebo Samuel,WR17
42,Jalen Hurts,QB3
43,Amari Cooper,WR18
44,Darren Waller,TE4
45,DeAndre Hopkins,WR2-1
46,Miles Sanders,RB20
47,Calvin Ridley,WR20
48,Kyle Pitts,TE5
49,Chris Godwin,WR21
50,DJ Moore,WR22
51,James Conner,RB21
52,Alexander Mattison,RB22
53,Jerry Jeudy,WR23
54,Cam Akers,RB23
55,Christian Watson,WR24
56,Lamar Jackson,QB4
57,Drake London,WR25
58,George Kittle,TE6
59,Joe Burrow,QB5
60,Javonte Williams,RB24
61,J.K. Dobbins,RB25
62,Isiah Pacheco,RB26
63,Dallas Goedert,TE7
64,D'Andre Swift,RB27
65,Terry McLaurin,WR26
66,Justin Fields,QB6
67,Diontae Johnson,WR27
68,Michael Pittman Jr.,WR28
69,David Montgomery,RB28
70,Tyler Lockett,WR3-1
71,Mike Williams,WR30
72,James Cook,RB3-1
73,Trevor Lawrence,QB7
74,Mike Evans,WR31
75,Brandon Aiyuk,WR32
76,Christian Kirk,WR33
77,Justin Herbert,QB8
78,Alvin Kamara,RB30
79,Evan Engram,TE8
80,AJ Dillon,RB31
81,Brian Robinson Jr.,RB32
82,Marquise Brown,WR34
83,Deshaun Watson,QB1-1
84,Dalvin Cook,RB33
85,Jahan Dotson,WR35
86,Antonio Gibson,RB34
87,George Pickens,WR36
88,Rashaad Penny,RB35
89,Treylon Burks,WR37
