Overall Rank,Player,Position Rank
1,Justin Jefferson,WR1
2,Ja'Marr Chase,WR2
3,Christian McCaffrey,RB1
4,Tyreek Hill,WR3
5,Cooper Kupp,WR4
6,Travis Kelce,TE1
7,Austin Ekeler,RB2
8,Stefon Diggs,WR5
9,CeeDee Lamb,WR6
10,Saquon Barkley,RB3
11,Amon-Ra St. Brown,WR7
12,A.J. Brown,WR8
13,Davante Adams,WR9
14,Bijan Robinson,RB4
15,Garrett Wilson,WR10
16,Tony Pollard,RB5
17,Nick Chubb,RB6
18,Jaylen Waddle,WR11
19,Chris Olave,WR12
20,Derrick Henry,RB7
21,DeVonta Smith,WR13
22,Jonathan Taylor,RB8
23,Rhamondre Stevenson,RB9
24,Keenan Allen,WR14
25,Josh Jacobs,RB10
26,Tee Higgins,WR15
27,Patrick Mahomes II,QB1
28,Josh Allen,QB2
29,DK Metcalf,WR16
30,Jalen Hurts,QB3
31,Mark Andrews,TE2
32,Amari Cooper,WR17
33,Joe Mixon,RB11
34,Najee Harris,RB12
35,Calvin Ridley,WR18
36,Breece Hall,RB13
37,Aaron Jones,RB14
38,Deebo Samuel,WR19
39,Travis Etienne Jr.,RB15
40,Chris Godwin,WR20
41,DeAndre Hopkins,WR21
42,Lamar Jackson,QB4
43,Jerry Jeudy,WR22
44,Jahmyr Gibbs,RB16
45,Drake London,WR23
46,Terry McLaurin,WR24
47,DJ Moore,WR25
48,Joe Burrow,QB5
49,Justin Fields,QB6
50,T.J. Hockenson,TE3
51,Christian Watson,WR26
52,Diontae Johnson,WR27
53,Justin Herbert,QB7
54,Tyler Lockett,WR28
55,Brandon Aiyuk,WR29
56,Christian Kirk,WR30
57,Mike Williams,WR31
58,Marquise Brown,WR32
59,Michael Pittman Jr.,WR33
60,Miles Sanders,RB17
61,Kenneth Walker III,RB18
62,Mike Evans,WR34
63,Alexander Mattison,RB19
64,George Kittle,TE4
65,Cam Akers,RB20
66,Trevor Lawrence,QB8
67,James Conner,RB21
68,J.K. Dobbins,RB22
69,Dameon Pierce,RB23
70,Darren Waller,TE5
71,Dallas Goedert,TE6
72,Rachaad White,RB24
73,Jahan Dotson,WR35
74,Kyle Pitts,TE7
75,Jordan Addison,WR36
76,Alvin Kamara,RB25
77,Jaxon Smith-Njigba,WR37
78,George Pickens,WR38
79,Javonte Williams,RB26
80,Treylon Burks,WR39
81,Brandin Cooks,WR40
82,David Montgomery,RB27
83,James Cook,RB28
84,D'Andre Swift,RB29
85,Gabe Davis,WR41
86,Courtland Sutton,WR42
87,Isiah Pacheco,RB30
88,JuJu Smith-Schuster,WR43
89,Deshaun Watson,QB9
90,Quentin Johnston,WR44
91,Michael Thomas,WR45
92,Elijah Moore,WR46
93,Dak Prescott,QB10
94,Antonio Gibson,RB31
95,Rashod Bateman,WR47
96,Evan Engram,TE8
97,AJ Dillon,RB32
98,Pat Freiermuth,TE9
99,Jakobi Meyers,WR48
100,Tua Tagovailoa,QB11
101,Daniel Jones,QB12
102,Brian Robinson Jr.,RB33
103,Khalil Herbert,RB34
104,Kirk Cousins,QB13
105,Dalvin Cook,RB35
106,Zay Flowers,WR49
107,Geno Smith,QB14
108,Kadarius Toney,WR50
109,Rashaad Penny,RB36
110,David Njoku,TE10
111,Aaron Rodgers,QB15
112,Samaje Perine,RB37
113,Nico Collins,WR51
114,Skyy Moore,WR52
115,Zach Charbonnet,RB38
116,Jamaal Williams,RB39
117,Jerick McKinnon,RB40
118,Allen Lazard,WR53
119,Rondale Moore,WR54
120,Damien Harris,RB41
121,Anthony Richardson,QB16
122,Jared Goff,QB17
123,Russell Wilson,QB18
124,Tyler Boyd,WR55
125,Dalton Schultz,TE11
126,Jameson Williams,WR56
127,Darnell Mooney,WR57
128,Zay Jones,WR58
129,Greg Dulcich,TE12
130,Elijah Mitchell,RB42
131,Odell Beckham Jr.,WR59
132,De'Von Achane,RB43
133,Adam Thielen,WR60
134,Chigoziem Okonkwo,TE13
135,Tyler Higbee,TE14
136,Romeo Doubs,WR61
137,Jeff Wilson Jr.,RB44
138,Devin Singletary,RB45
139,Raheem Mostert,RB46
140,Tyler Allgeier,RB47
141,Cole Kmet,TE15
142,DJ Chark Jr.,WR62
143,Jaylen Warren,RB48
144,Michael Gallup,WR63
145,Derek Carr,QB19
146,Matthew Stafford,QB20
147,Gerald Everett,TE16
148,Donovan Peoples-Jones,WR64
149,Kenny Pickett,QB21
150,Hunter Renfrow,WR65
151,Kendre Miller,RB49
152,K.J. Osborn,WR66
153,Alec Pierce,WR67
154,Dalton Kincaid,TE17
155,D'Onta Foreman,RB50
156,Jordan Love,QB22
157,Curtis Samuel,WR68
158,Kenneth Gainwell,RB51
159,Tank Bigsby,RB52
160,Isaiah Hodgins,WR69
161,Rashid Shaheed,WR70
162,San Francisco 49ers,DST1
163,Van Jefferson,WR71
164,Brock Purdy,QB23
165,Bryce Young,QB24
166,Marquez Valdes-Scantling,WR72
167,Juwan Johnson,TE18
168,Dallas Cowboys,DST2
169,Jonathan Mingo,WR73
170,Irv Smith Jr.,TE19
171,Robert Woods,WR74
172,Kyler Murray,QB25
173,Justin Tucker,K1
174,John Metchie III,WR75
175,Philadelphia Eagles,DST3
176,Darius Slayton,WR76
177,Parris Campbell,WR77
178,Buffalo Bills,DST4
179,Chase Claypool,WR78
180,Ryan Tannehill,QB26
181,Roschon Johnson,RB53
182,Wan'Dale Robinson,WR79
183,Tyler Bass,K2
184,Hayden Hurst,TE20
185,DeVante Parker,WR80
186,Sam LaPorta,TE21
187,Trey McBride,TE22
188,Jerome Ford,RB54
189,Chuba Hubbard,RB55
190,New England Patriots,DST5
191,Joshua Palmer,WR81
192,Jayden Reed,WR82
193,New York Jets,DST6
194,Harrison Butker,K3
195,Gus Edwards,RB56
196,Mike Gesicki,TE23
197,Evan McPherson,K4
198,Rashee Rice,WR83
199,Baltimore Ravens,DST7
200,Clyde Edwards-Helaire,RB57
