Overall Rank,Player,Position Rank
1,Christian McCaffrey,RB1
2,Justin Jefferson,WR1
3,Saquon Barkley,RB2
4,Austin Ekeler,RB3
5,Travis Kelce,TE1
6,Ja'Marr Chase,WR2
7,Bijan Robinson,RB4
8,Tyreek Hill,WR3
9,Cooper Kupp,WR4
10,Stefon Diggs,WR5
11,Ceedee Lamb,WR6
12,Tony Pollard,RB5
13,Nick Chubb,RB6
14,A.J. Brown,WR7
15,Amon-Ra St. Brown,WR8
16,Josh Jacobs,RB7
17,Davante Adams,WR9
18,Garrett Wilson,WR10
19,Rhamondre Stevenson,RB8
20,Jaylen Waddle,WR11
21,Chris Olave,WR12
22,Jonathan Taylor,RB9
23,Derrick Henry,RB10
24,DeVonta Smith,WR13
25,Jahmyr Gibbs,RB11
26,Jalen Hurts,QB1
27,Patrick Mahomes,QB2
28,Keenan Allen,WR14
29,Tee Higgins,WR15
30,Amari Cooper,WR16
31,D.K. Metcalf,WR17
32,Joe Mixon,RB12
33,DeAndre Hopkins,WR18
34,Deebo Samuel,WR19
35,Najee Harris,RB13
36,T.J. Hockenson,TE2
37,Josh Allen,QB3
38,Aaron Jones,RB14
39,Travis Etienne,RB15
40,Lamar Jackson,QB4
41,Chris Godwin,WR20
42,Drake London,WR21
43,Terry McLaurin,WR22
44,Mark Andrews,TE3
45,D.J. Moore,WR23
46,Calvin Ridley,WR24
47,Breece Hall,RB16
48,Miles Sanders,RB17
49,Darren Waller,TE4
50,Justin Herbert,QB5
51,Diontae Johnson,WR25
52,Jerry Jeudy,WR26
53,Justin Fields,QB6
54,Dameon Pierce,RB18
55,Tyler Lockett,WR27
56,Christian Kirk,WR28
57,Michael Pittman Jr.,WR29
58,Brandon Aiyuk,WR30
59,Alvin Kamara,RB19
60,Javonte Williams,RB20
61,Joe Burrow,QB7
62,Rachaad White,RB21
63,Kenneth Walker,RB22
64,James Conner,RB23
65,Marquise Brown,WR31
66,Mike Evans,WR32
67,Trevor Lawrence,QB8
68,Dallas Goedert,TE5
69,Mike Williams,WR33
70,Kyle Pitts,TE6
71,Christian Watson,WR34
72,D'Andre Swift,RB24
73,Cam Akers,RB25
74,James Cook,RB26
75,Jordan Addison,WR35
76,Jahan Dotson,WR36
77,Jaxon Smith-Njigba,WR37
78,Isiah Pacheco,RB27
79,George Kittle,TE7
80,Zay Flowers,WR38
81,Treylon Burks,WR39
82,J.K. Dobbins,RB28
83,David Montgomery,RB29
84,Deshaun Watson,QB9
85,Dalvin Cook,RB30
86,Elijah Moore,WR40
87,Brandin Cooks,WR41
88,Alexander Mattison,RB31
89,A.J Dillon,RB32
90,Daniel Jones,QB10
91,Pat Freiermuth,TE8
92,George Pickens,WR42
93,Courtland Sutton,WR43
94,Khalil Herbert,RB33
95,Zach Charbonnet,RB34
96,Dak Prescott,QB11
97,Juju Smith-Schuster,WR44
98,Antonio Gibson,RB35
99,Quentin Johnston,WR45
100,Brian Robinson,RB36
101,Evan Engram,TE9
102,Rashaad Penny,RB37
103,Jakobi Meyers,WR46
104,Kirk Cousins,QB12
105,Geno Smith,QB13
106,Jerrick McKinnon,RB38
107,Samaje Perine,RB39
108,Damien Harris,RB40
109,Jamaal Williams,RB41
110,Darnell Mooney,WR47
111,Michael Thomas,WR48
112,David Njoku,TE10
113,Tyler Boyd,WR49
114,Tyler Allgeier,RB41
115,Aaron Rodgers,QB14
116,Tua Tagovailoa,QB15
117,Rondale Moore,WR50
118,Kadarius Toney,WR51
119,Donovan Peoples-Jones,WR52
120,Robert Woods,WR53
121,Dalton Kincaid,TE11
122,Elijah Mitchell,RB43
123,Devin Singletary,RB44
124,Adam Thielen,WR54
125,Kendre Miller,RB45
126,Jameson Williams,WR55
127,Anthony Richardson,QB16
128,Tyler Higbee,TE12
129,Greg Dulcich,TE13
130,Jared Goff,QB17
131,Devon Achane,RB46
132,Russell Wilson,QB18
133,Tank Bigsby,RB47
134,Jeff Wilson Jr.,RB48
135,Raheem Mostert,RB49
136,Gabriel Davis,WR56
137,Nico Collins,WR57
138,Rashee Rice,WR58
139,Justyn Ross,WR59
140,Michael Gallup,WR60
141,Rashod Bateman,WR61
142,Allen Lazard,WR62
143,Dalton Schultz,TE14
144,Jaylen Warren,RB50
145,Chigoziem Okonkwo,TE15
146,Skyy Moore,WR63
147,Gus Edwards,RB51
148,Kyler Murray,QB19
149,Marquez Valdes-Scantling,WR64
150,Jerome Ford,RB52
151,D.J. Chark,WR65
152,Derek Carr,QB20
153,Matthew Stafford,QB21
154,Brock Purdy,QB22
155,Cordarelle Patterson,RB53
156,D'Onta Foreman,RB54
157,Zay Jones,WR66
158,Ezekiel Elliott,RB55
159,Mike Gesicki,TE16
160,Leonard Fournette,RB56
161,Alec Pierce,WR67
162,Jayden Reed,WR68
163,Rasheed Shaheed,WR69
164,Chuba Hubbard,RB57
165,Odell Beckham Jr.,WR70
166,K.J. Osborn,WR71
167,Isaiah Hodgins,WR72
168,Bryce Young,QB23
169,Kenny Pickett,QB24
170,Jordan Love,QB25
171,Sam LaPorta,TE17
172,Hayden Hurst,TE18
173,Roschon Johnson,RB58
174,Kenneth Gainwell,RB59
175,Juwaan Johnson,TE19
176,Trey McBride,TE20
177,Kareem Hunt,RB60
178,Dawson Knox,TE21
179,Hunter Renfrow,WR73
180,Chase Claypool,WR74
181,Michael Carter,RB61
182,Clyde Edwards-Helaire,RB62
183,Gerald Everett,TE22
184,Sam Howell,QB26
185,Van Jefferson,WR75
186,Joshua Palmer,WR76
187,C.J. Stroud,QB27
188,Cole Kmet,TE23
