Overall Rank,Player,Position Rank
1,Christian McCaffrey,RB1
2,Austin Ekeler,RB2
3,Bijan Robinson,RB3
4,Saquon Barkley,RB4
5,Justin Jefferson,WR1
6,Jonathan Taylor,RB5
7,Ja'Marr Chase,WR2
8,Cooper Kupp,WR3
9,Travis Kelce,TE1
10,Tyreek Hill,WR4
11,Derrick Henry,RB6
12,Stefon Diggs,WR5
13,Tony Pollard,RB7
14,Josh Jacobs,RB8
15,Davante Adams,WR6
16,Nick Chubb,RB9
17,Breece Hall,RB10
18,CeeDee Lamb,WR7
19,Amon-Ra St. Brown,WR8
20,A.J. Brown,WR9
21,Mark Andrews,TE2
22,Jaylen Waddle,WR10
23,Rhamondre Stevenson,RB11
24,Tee Higgins,WR11
25,Garrett Wilson,WR12
26,Josh Allen,QB1
27,Kenneth Walker III,RB12
28,Chris Olave,WR13
29,Deebo Samuel,WR14
30,Aaron Jones,RB13
31,D.K. Metcalf,WR15
32,Jalen Hurts,QB2
33,Jahmyr Gibbs,RB14
34,Najee Harris,RB15
35,Patrick Mahomes,QB3
36,Dameon Pierce,RB16
37,Travis Etienne Jr.,RB17
38,Keenan Allen,WR16
39,DeVonta Smith,WR17
40,T.J. Hockenson,TE3
41,Chris Godwin,WR18
42,George Kittle,TE4
43,Joe Mixon,RB18
44,Javonte Williams,RB19
45,DeAndre Hopkins,WR19
46,Christian Watson,WR20
47,Dalvin Cook,RB20
48,Drake London,WR21
49,Amari Cooper,WR22
50,Kyle Pitts,TE5
51,J.K. Dobbins,RB21
52,Joe Burrow,QB4
53,D.J. Moore,WR23
54,Mike Williams,WR24
55,Dallas Goedert,TE6
56,Cam Akers,RB22
57,Lamar Jackson,QB5
58,Justin Fields,QB6
59,Michael Pittman Jr.,WR25
60,David Montgomery,RB23
61,Diontae Johnson,WR26
62,Tyler Lockett,WR27
63,Jerry Jeudy,WR28
64,Marquise Brown,WR29
65,James Conner,RB24
66,Miles Sanders,RB25
67,Terry McLaurin,WR30
68,Darren Waller,TE7
