Overall Rank,Player,Position Rank
1,Justin Jefferson,WR1
2,Christian McCaffrey,RB1
3,Ja'Marr Chase,WR2
4,Austin Ekeler,RB2
5,Travis Kelce,TE1
6,Cooper Kupp,WR3
7,Tyreek Hill,WR4
8,Bijan Robinson,RB3
9,Nick Chubb,RB4
10,Saquon Barkley,RB5
11,Tony Pollard,RB6
12,Derrick Henry,RB7
13,Stefon Diggs,WR5
14,CeeDee Lamb,WR6
15,Amon-Ra St. Brown,WR7
16,Davante Adams,WR8
17,Jonathan Taylor,RB8
18,Josh Jacobs,RB9
19,A.J. Brown,WR9
20,Rhamondre Stevenson,RB10
21,Garrett Wilson,WR10
22,Joe Mixon,RB11
23,Jaylen Waddle,WR11
24,Najee Harris,RB12
25,Jalen Hurts,QB1
26,Patrick Mahomes II,QB2
27,Breece Hall,RB13
28,Chris Olave,WR12
29,Mark Andrews,TE2
30,Devonta Smith,WR13
31,Josh Allen,QB3
32,Travis Etienne Jr.,RB14
33,Tee Higgins,WR14
34,T.J. Hockenson,TE3
35,Aaron Jones,RB15
36,Jahmyr Gibbs,RB16
37,Lamar Jackson,QB4
38,Kenneth Walker III,RB17
39,DK Metcalf,WR15
40,Amari Cooper,WR16
41,Dameon Pierce,RB18
42,Keenan Allen,WR17
43,Calvin Ridley,WR18
44,Deebo Samuel,WR19
45,Jerry Jeudy,WR20
46,Alexander Mattison,RB19
47,J.K. Dobbins,RB20
48,Rachaad White,RB21
49,Miles Sanders,RB22
50,DJ Moore,WR21
51,Cam Akers,RB23
52,James Conner,RB24
53,Drake London,WR22
54,Joe Burrow,QB5
55,Chris Godwin,WR23
56,George Kittle,TE4
57,Dallas Goedert,TE5
58,DeAndre Hopkins,WR24
59,Terry Mclaurin,WR25
60,D'Andre Swift,RB25
61,Justin Fields,QB6
62,Dalvin Cook,RB26
63,Darren Waller,TE6
64,Brandon Aiyuk,WR26
65,Mike Evans,WR27
66,Alvin Kamara,RB27
67,Christian Watson,WR28
68,Kyle Pitts,TE7
69,Mike Williams,WR29
70,David Montgomery,RB28
71,Isiah Pacheco,RB29
72,Javonte Williams,RB30
73,Michael Pittman Jr.,WR30
74,Tyler Lockett,WR31
75,Christian Kirk,WR32
76,Justin Herbert,QB7
77,Brian Robinson Jr.,RB31
78,James Cook,RB32
79,Marquise Brown,WR33
80,AJ Dillon,RB33
81,Trevor Lawrence,QB8
82,Diontae Johnson,WR34
83,Antonio Gibson,RB34
84,Tua Tagovailoa,QB9
85,Evan Engram,TE8
86,George Pickens,WR35
87,Treylon Burks,WR36
88,Jahan Dotson,WR37
89,Rashaad Penny,RB35
90,Khalil Herbert,RB36
